City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nome,US,64.5011,-165.4064,-11.13,64,1,0.0,clear sky
80,Barrow,US,71.2906,-156.7887,-16.58,76,1,11.5,haze
81,Pointe-Noire,CG,-4.7761,11.8635,76.77,93,89,1.83,overcast clouds
82,Oxbow,CA,49.2333,-102.1676,30.63,96,100,9.22,overcast clouds
83,San Quintin,MX,30.4833,-115.95,65.23,72,0,8.84,clear sky
84,Kiunga,PG,-6.1219,141.2906,78.37,91,99,2.19,overcast clouds
85,Bluff,NZ,-46.6,168.3333,62.8,69,89,14.27,overcast clouds
86,Okakarara,NA,-20.5833,17.4333,70.93,15,38,6.35,scattered clouds
87,Henties Bay,NA,-22.116,14.2845,59.86,92,1,6.26,clear sky
88,Dedougou,BF,12.4667,-3.4667,75.9,14,2,7.23,clear sky
89,Gravelbourg,CA,49.8834,-106.5512,41.2,65,38,7.45,scattered clouds
90,Katsuura,JP,35.1333,140.3,68.18,80,100,34.09,overcast clouds
91,Castro,BR,-24.7911,-50.0119,63.46,54,0,2.73,clear sky
92,Kodiak,US,57.79,-152.4072,27.91,69,90,10.36,overcast clouds
93,Soligalich,RU,59.0778,42.2864,28.9,95,100,12.46,light snow
94,Mahebourg,MU,-20.4081,57.7,73.26,76,13,9.75,light rain
95,Tendukheda,IN,23.4,79.55,59.23,49,100,4.7,overcast clouds
96,Pacific Grove,US,36.6177,-121.9166,77.43,64,1,0.0,clear sky
97,Nanortalik,GL,60.1432,-45.2371,35.24,94,100,23.2,moderate rain
98,Ewa Beach,US,21.3156,-158.0072,85.95,60,20,15.01,few clouds
99,Marsh Harbour,BS,26.5412,-77.0636,72.91,56,2,7.65,clear sky
100,Mount Isa,AU,-20.7333,139.5,92.97,14,0,10.36,clear sky
101,Aswan,EG,24.0934,32.907,76.96,24,43,8.59,scattered clouds
102,Cockburn Town,TC,21.4612,-71.1419,79.39,70,98,13.87,overcast clouds
